6*7,42
62-36,26
42/(29-22)*4,24
54/9+92,98
(58-34)/8,3
(75-26)/7-6,1
95/5,19
72/9,8
72/8,9
79-2,77
86/43,2
31-13+88-32,74
6+6,12
16*5,80
300/15+65/5,33
91-23,68
98/14,7
50+27,77
360/4,90
24/4+90/6,21
82-3,79
68/2,34
85-22,63
45/3,15
68/4,17
45/5,9
5*4,20
5*5,25
65-38+26,53
40/20,2
18/3-2+170-95,79
5*9,45
18/9,2
98/49,2
(38-29)*8/3,24
77-46+32,63
8000/500,16
56/8,7
7600/200,38
76-17-4,54
18/6,3
27*3,81
16+3,19
480/80,6
18/2,9
56/4,14
62+23,85
750/50,13
93/3,31
4+27-16,15
18+67,85
91-40,51
980/14,70
28-3,25
4*2,8
63-31,32
(39-30)*5/3+23,38
25+31,56
4*9,36
(40-28)/6*5,10
16/16,1
650/13,50
81/3,27
39-7,32
75-25,50
(76-68)*7,56
99/33,3
600/40,15
(42+30)/8,9
(133-115)*36/12,54
64-11,53
55/5,11
38+54/9+23,67
170-19*4,94
92/4,23
35+46,81
79+19-56,42
(39-30)*6*(87-69)/12,81
91-66,25
84-27+16,73
59-24/6,55
25+13,38
(58-34)/8*3,9
(79-23)/8+22,29
28/7,3
81/9,9
88-4,88
48/4+42+36,90
85+12/6-32/4,79
12*40/5,96
77-76/2+32,71
42/(91/13),6
80/8-7*3+44,33
76-23,53
7600/400,19
79+19-16,82
39/3,13
87+48/8,93
19*12-170,58
560/80,7
7000/140,50
28+50,78
3+3,6
54/3,18
61-38+26,49
67+56/7-16,59
82-21,61
98+1,99
16/2,8
87-23,24
90-2,88
(75-26)/7,7
8100/300,27
76-12,64
980/4-225,20
41+5*15-22,94
32/4-7+28,29
91-81,10
13*6,78
2*2,4
600/12,50
36*2,72
42/6,7
42/7,6
88/4,22
36/(65-47)*3,6
(85-31)/9+33,39
69-39-23,7
(76-22)/9,6
(19+2)/3*(64-57),49
30/6,5
10*8*9-678,42
2+3,5
14-7,7
91/7,13
2+4,6
12+19,31
2+5,7
2+6,8
99/3,33
2+8,10
15/3,5
84/21,4
90/2,45
5+15,20
90/15,6
70/10+56/7+46,61
90/5,18
81/(39-30),9
99-23,76
(46+4)/5*7,70
98-51,47
1*1,1
12*8,96
87/3,29
640/16,40
35*2,70
72/9+88,96
(85-31)/9,6
142/2-45,26
9*3,27
95-18,77
9*5,45
66+7*4,94
20/10,2
1000/25,40
9*9,81
96/24,4
24-18,6
(30+15)/9,5
14/2,7
(35-30)*6,30
56/14,4
(39-30)*7/3,21
27+9*18-99,90
(46+35)/9,9
(66-50)*2-20,12
1+1,2
52/2,26
13-8,5
22+33,55
50+5,55
23*3,69
75/5,13
98/7,14
53-56/8,46
100/4,25
42/6*8,56
(58-34)/8+32,35
(79-7)/8,9
9+8,17
48/16,3
94-32,62
(23+49)/8,9
96/16,6
90/30,3
77-22,55
7*42-199,95
58-36+27,49
16+42,58
96/12,8
48/4,12
15*9+15-60,90
64/(24-26)+60,28
85-2,83
51/17,3
100/25,4
86/2,43
63/7,9
82+12,94
8*2,16
170-52-48,70
90-24,66
960/80,12
64/(24-16),8
96/48,2
33+33,66
14+21/7,17
73*9-650,7
99/9+25-24/3,28
44+40,84
26+59,85
1900/20,95
51/3,17
45+13,58
96-3,93
(79-23)/8,7
(87-66)*3-42,21
36/4+27,36
(100-46)/9+45,51
96/32,3
4200/300,14
85/5,17
6*11-14,52
93+23-94/2,69
22+22,44
24/8,3
24/6,4
9*(39-33),54
15+23,38
18/18,1
7*8,56
75+2*8-24,67
87+64/8-49,46
55-45,10
96/4,24
68-150/6,43
96/3,32
96/8,12
72-6,66
96/6,16
8*19-80,72
35/5,7
115-7*16,3
7+4,11
119-14*4,63
(21+15)/9,4
4*10*11-413,27
8800/400,22
72/3,24
25-18/9+54,77
14+5*12-66,8
90-30,60
640/80,8
20+60,80
68-6,62
64-19*6+73,23
840/21,40
84/6,14
84/3,28
84/4,21
(62-38)/4,6
(21+27)/6*5,40
84/7,12
32*3,96
72/(32-24),9
